user_id,username,email,full_name,gender,birth_date,hire_date,position,department,store_id,manager_id,has_training,training_level,total_training_days,training_score,last_training_date,is_active,created,modified
1,nv0001,nv1@tamsonvn.com,Dương Minh,Nam,1992-10-14,2015-07-29,Client Advisor,Sales,1,,1,Nâng cao,37,89.2,2018-05-06,1,2015-07-29,2021-05-16
2,nv0002,nv2@tamsonvn.com,Bùi Thành,Nam,1982-08-17,2010-12-15,Client Advisor,Sales,1,,1,International,53,74.0,2013-06-15,1,2010-12-15,2021-05-26
3,nv0003,nv3@tamsonvn.com,Hoàng Lan,Nữ,1994-05-04,2017-08-05,Client Advisor,Sales,1,,1,Cơ bản,42,90.0,2024-04-19,1,2017-08-05,2023-02-03
4,nv0004,nv4@tamsonvn.com,Phan Anh,Nam,1988-03-29,2017-01-08,Senior Client Advisor,Sales,1,,1,Nâng cao,21,88.2,2019-01-30,1,2017-01-08,2020-06-21
5,nv0005,nv5@tamsonvn.com,Phan Đức,Nam,1994-03-13,2013-10-08,Store Manager,Management,1,,1,Nâng cao,36,96.2,2015-03-18,0,2013-10-08,2014-11-29
6,nv0006,nv6@tamsonvn.com,Bùi Hằng,Nữ,1991-10-13,2010-02-10,Visual Merchandiser,Marketing,1,,1,Chuyên sâu,10,93.6,2010-07-29,1,2010-02-10,2010-06-15
7,nv0007,nv7@tamsonvn.com,Bùi Quang,Nam,1995-03-09,2013-02-17,Stock Controller,Operations,1,,0,,0,,,1,2013-02-17,2014-11-01
8,nv0008,nv8@tamsonvn.com,Hoàng Mai,Nữ,1992-07-10,2021-07-31,Client Advisor,Sales,1,,0,,0,,,1,2021-07-31,2022-05-09
9,nv0009,nv9@tamsonvn.com,Đỗ Phương,Nữ,1995-05-23,2013-10-13,Client Advisor,Sales,1,,1,International,25,78.4,2020-03-03,1,2013-10-13,2014-11-01
10,nv0010,nv10@tamsonvn.com,Vũ Trung,Nam,1985-01-12,2017-01-16,Client Advisor,Sales,1,,1,International,87,68.8,2020-02-23,1,2017-01-16,2017-12-28
11,nv0011,nv11@tamsonvn.com,Vũ Nga,Nữ,1980-01-23,2015-05-22,Client Advisor,Sales,1,,0,,0,,,1,2015-05-22,2023-06-29
12,nv0012,nv12@tamsonvn.com,Phạm Thành,Nam,1985-05-11,2016-07-04,Client Advisor,Sales,1,,1,International,33,89.3,2019-04-25,1,2016-07-04,2022-07-01
13,nv0013,nv13@tamsonvn.com,Hoàng Hùng,Nam,1989-08-10,2019-02-10,Client Advisor,Sales,1,,1,Chuyên sâu,50,97.2,2023-06-30,1,2019-02-10,2023-11-06
