entity_id,parent_id,address_type,firstname,lastname,street,city,country_id,telephone,postcode,is_active
1,1,billing,Thảo,Lê,22 Trần Hưng Đạo,Khánh Hòa,VN,0972371764,973965,1
2,1,shipping,Thảo,Lê,78 Lê Lợi,Khánh Hòa,VN,0943742851,933980,1
3,2,billing,Hoa,Đặng,99 Hai Bà Trưng,Hà Nội,VN,0957931922,728421,1
4,2,shipping,Hoa,Đặng,22 Trần Hưng Đạo,Hà Nội,VN,0939207053,563151,1
5,3,billing,Minh,Trần,99 Hai Bà Trưng,Hà Nội,VN,0967156593,791281,1
6,3,shipping,Minh,Trần,45 Đinh Tiên Hoàng,Hà Nội,VN,0964417484,469100,1
7,4,billing,Quang,Dương,99 Hai Bà Trưng,Hà Nội,VN,0926200982,999082,1
8,4,shipping,Quang,Dương,123 Nguyễn Huệ,Hà Nội,VN,0974237513,733778,1
9,5,billing,Khánh,Vũ,99 Hai Bà Trưng,Hải Phòng,VN,0962376651,304480,1
10,5,shipping,Khánh,Vũ,99 Hai Bà Trưng,Hải Phòng,VN,0921034735,172387,1
11,6,billing,Việt,Đặng,22 Trần Hưng Đạo,Hà Nội,VN,0990136886,280737,1
12,6,shipping,Việt,Đặng,45 Đinh Tiên Hoàng,Hà Nội,VN,0982588276,625292,1
13,7,billing,Tuấn,Nguyễn,99 Hai Bà Trưng,Hà Nội,VN,0941363329,387328,1
14,7,shipping,Tuấn,Nguyễn,123 Nguyễn Huệ,Hà Nội,VN,0999984130,291364,1
15,8,billing,Thảo,Phạm,78 Lê Lợi,Khánh Hòa,VN,0977735228,504849,1
16,8,shipping,Thảo,Phạm,45 Đinh Tiên Hoàng,Khánh Hòa,VN,0964878835,321559,1
17,9,billing,Hùng,Bùi,99 Hai Bà Trưng,Hà Nội,VN,0913883175,641185,1
18,9,shipping,Hùng,Bùi,22 Trần Hưng Đạo,Hà Nội,VN,0991718435,272209,1
19,10,billing,Anh,Vũ,22 Trần Hưng Đạo,Khánh Hòa,VN,0941820105,234000,1
20,10,shipping,Anh,Vũ,123 Nguyễn Huệ,Khánh Hòa,VN,0911929856,810167,1
21,11,billing,Ngọc,Phan,99 Hai Bà Trưng,Hà Nội,VN,0971204191,349786,1
22,11,shipping,Ngọc,Phan,22 Trần Hưng Đạo,Hà Nội,VN,0970508345,925530,1
23,12,billing,Đức,Trần,78 Lê Lợi,Hà Nội,VN,0933226417,773203,1
24,12,shipping,Đức,Trần,78 Lê Lợi,Hà Nội,VN,0951537612,919945,1
25,13,billing,Thảo,Lê,45 Đinh Tiên Hoàng,Bình Dương,VN,0952762260,546685,1
26,13,shipping,Thảo,Lê,78 Lê Lợi,Bình Dương,VN,0979203876,102363,1
27,14,billing,Thảo,Đặng,22 Trần Hưng Đạo,Hà Nội,VN,0977485798,699243,1
28,14,shipping,Thảo,Đặng,78 Lê Lợi,Hà Nội,VN,0917620431,513082,1
29,15,billing,Khánh,Bùi,45 Đinh Tiên Hoàng,TP HCM,VN,0968761430,702288,1
30,15,shipping,Khánh,Bùi,45 Đinh Tiên Hoàng,TP HCM,VN,0916027748,969784,1
31,16,billing,Minh,Lê,78 Lê Lợi,TP HCM,VN,0972450429,725856,1
32,16,shipping,Minh,Lê,22 Trần Hưng Đạo,TP HCM,VN,0951518537,343725,1
33,17,billing,Thành,Dương,99 Hai Bà Trưng,Quảng Ninh,VN,0984030699,570390,1
34,17,shipping,Thành,Dương,45 Đinh Tiên Hoàng,Quảng Ninh,VN,0937879955,398676,1
35,18,billing,Ánh,Dương,22 Trần Hưng Đạo,Hà Nội,VN,0931585892,271684,1
36,18,shipping,Ánh,Dương,78 Lê Lợi,Hà Nội,VN,0963977816,392899,1
37,19,billing,Hà,Hoàng,78 Lê Lợi,Hà Nội,VN,0926849595,662993,1
38,19,shipping,Hà,Hoàng,22 Trần Hưng Đạo,Hà Nội,VN,0932038495,278957,1
39,20,billing,Lan,Phan,45 Đinh Tiên Hoàng,Bình Dương,VN,0923399025,865782,1
40,20,shipping,Lan,Phan,45 Đinh Tiên Hoàng,Bình Dương,VN,0911042110,992558,1
41,21,billing,Yến,Đỗ,78 Lê Lợi,TP HCM,VN,0910251102,106249,1
42,21,shipping,Yến,Đỗ,78 Lê Lợi,TP HCM,VN,0918705422,270757,1
43,22,billing,Hùng,Vũ,99 Hai Bà Trưng,TP HCM,VN,0944612609,654324,1
44,22,shipping,Hùng,Vũ,22 Trần Hưng Đạo,TP HCM,VN,0992584954,298575,1
45,23,billing,Mai,Bùi,78 Lê Lợi,TP HCM,VN,0912709181,412153,1
46,23,shipping,Mai,Bùi,99 Hai Bà Trưng,TP HCM,VN,0958158970,305569,1
47,24,billing,Đức,Hoàng,22 Trần Hưng Đạo,Hải Phòng,VN,0997095411,399564,1
48,24,shipping,Đức,Hoàng,123 Nguyễn Huệ,Hải Phòng,VN,0941531515,892797,1
49,25,billing,Thành,Hoàng,78 Lê Lợi,Hà Nội,VN,0931387624,560400,1
50,25,shipping,Thành,Hoàng,123 Nguyễn Huệ,Hà Nội,VN,0938681451,805842,1
51,26,billing,Việt,Đỗ,45 Đinh Tiên Hoàng,TP HCM,VN,0910803045,309545,1
52,26,shipping,Việt,Đỗ,22 Trần Hưng Đạo,TP HCM,VN,0994624844,876559,1
53,27,billing,Quang,Dương,123 Nguyễn Huệ,Hà Nội,VN,0940173554,499576,1
54,27,shipping,Quang,Dương,45 Đinh Tiên Hoàng,Hà Nội,VN,0963630383,332744,1
55,28,billing,Phương,Bùi,99 Hai Bà Trưng,Khánh Hòa,VN,0982667097,346490,1
56,28,shipping,Phương,Bùi,99 Hai Bà Trưng,Khánh Hòa,VN,0946902146,825690,1
57,29,billing,Ngọc,Hoàng,45 Đinh Tiên Hoàng,Hải Phòng,VN,0949534187,670944,1
58,29,shipping,Ngọc,Hoàng,123 Nguyễn Huệ,Hải Phòng,VN,0930099699,163089,1
59,30,billing,Nga,Hoàng,123 Nguyễn Huệ,Đồng Nai,VN,0985495420,734687,1
60,30,shipping,Nga,Hoàng,78 Lê Lợi,Đồng Nai,VN,0946243299,192310,1
61,31,billing,Thu,Bùi,45 Đinh Tiên Hoàng,Hà Nội,VN,0959936589,247575,1
62,31,shipping,Thu,Bùi,22 Trần Hưng Đạo,Hà Nội,VN,0926897216,956269,1
63,32,billing,Hằng,Dương,45 Đinh Tiên Hoàng,TP HCM,VN,0978313108,704608,1
64,32,shipping,Hằng,Dương,99 Hai Bà Trưng,TP HCM,VN,0922390258,118367,1
65,33,billing,Anh,Phan,99 Hai Bà Trưng,Đà Nẵng,VN,0957419174,144646,1
66,33,shipping,Anh,Phan,123 Nguyễn Huệ,Đà Nẵng,VN,0914276834,868235,1
67,34,billing,Bình,Lê,99 Hai Bà Trưng,Hà Nội,VN,0923123495,863308,1
68,34,shipping,Bình,Lê,99 Hai Bà Trưng,Hà Nội,VN,0975525544,509940,1
69,35,billing,Thu,Trần,78 Lê Lợi,Đà Nẵng,VN,0972858998,724017,1
70,35,shipping,Thu,Trần,78 Lê Lợi,Đà Nẵng,VN,0925763766,154031,1
71,36,billing,Trung,Nguyễn,78 Lê Lợi,Hà Nội,VN,0915036210,297188,1
72,36,shipping,Trung,Nguyễn,123 Nguyễn Huệ,Hà Nội,VN,0988818309,617550,1
73,37,billing,Khánh,Đỗ,123 Nguyễn Huệ,Đà Nẵng,VN,0920982051,222275,1
74,37,shipping,Khánh,Đỗ,22 Trần Hưng Đạo,Đà Nẵng,VN,0997932509,106894,1
75,38,billing,Linh,Ngô,99 Hai Bà Trưng,TP HCM,VN,0975526035,687852,1
76,38,shipping,Linh,Ngô,45 Đinh Tiên Hoàng,TP HCM,VN,0930557596,990245,1
77,39,billing,Ánh,Vũ,45 Đinh Tiên Hoàng,Hà Nội,VN,0978960403,448599,1
78,39,shipping,Ánh,Vũ,78 Lê Lợi,Hà Nội,VN,0949819644,976436,1
79,40,billing,Mai,Vũ,22 Trần Hưng Đạo,TP HCM,VN,0965197775,787916,1
80,40,shipping,Mai,Vũ,99 Hai Bà Trưng,TP HCM,VN,0944967862,586618,1
81,41,billing,Bình,Hoàng,22 Trần Hưng Đạo,Đà Nẵng,VN,0974540964,428372,1
82,41,shipping,Bình,Hoàng,123 Nguyễn Huệ,Đà Nẵng,VN,0995469740,507070,1
83,42,billing,Long,Dương,45 Đinh Tiên Hoàng,Hà Nội,VN,0947579397,365076,1
84,42,shipping,Long,Dương,22 Trần Hưng Đạo,Hà Nội,VN,0911088680,712544,1
85,43,billing,Ngọc,Bùi,78 Lê Lợi,TP HCM,VN,0948626521,412918,1
86,43,shipping,Ngọc,Bùi,45 Đinh Tiên Hoàng,TP HCM,VN,0976383387,375158,1
87,44,billing,Trung,Hồ,123 Nguyễn Huệ,TP HCM,VN,0974230648,525900,1
88,44,shipping,Trung,Hồ,22 Trần Hưng Đạo,TP HCM,VN,0947649871,412133,1
89,45,billing,Trang,Trần,78 Lê Lợi,Hà Nội,VN,0925725331,151289,1
