entity_id,email,full_name,gender,birth_year,age_group,occupation,province,nationality,loyalty_tier,group_id,website_id,store_id,created_at,updated_at,is_active
1,customer1@example.com,Lê Thảo,Nữ,1995,25-29,Nhà đầu tư,Khánh Hòa,Expat,Platinum,2,1,5,2019-06-23,2024-11-18,1
2,customer2@example.com,Đặng Hoa,Nữ,1993,30-39,Luật sư,Hà Nội,Việt Nam,Gold,2,1,10,2017-06-21,2023-01-08,0
3,customer3@example.com,Trần Minh,Nam,1974,50-59,Chuyên gia tài chính,Hà Nội,Việt Nam,Platinum,2,1,9,2016-06-25,2024-08-07,1
4,customer4@example.com,Dương Quang,Nam,1990,30-39,Luật sư,Hà Nội,Việt Nam,Gold,4,1,8,2023-03-06,2023-02-25,1
5,customer5@example.com,Vũ Khánh,Nam,1963,60+,Chuyên gia tài chính,Hải Phòng,Việt Nam,Silver,4,1,3,2019-09-25,2023-07-07,1
6,customer6@example.com,Đặng Việt,Nam,1964,60+,Giám đốc,Hà Nội,Expat,Platinum,1,1,4,2016-11-12,2024-02-21,1
7,customer7@example.com,Nguyễn Tuấn,Nam,1985,30-39,Nhà đầu tư,Hà Nội,Việt Nam,Diamond,4,1,5,2019-09-29,2024-12-14,1
8,customer8@example.com,Phạm Thảo,Nữ,1969,50-59,Luật sư,Khánh Hòa,Việt Nam,Gold,3,1,1,2015-07-25,2024-08-21,1
9,customer9@example.com,Bùi Hùng,Nam,1963,60+,Bác sĩ,Hà Nội,Việt Nam,Platinum,4,1,2,2021-05-22,2023-09-10,1
10,customer10@example.com,Vũ Anh,Nam,1965,50-59,Chuyên gia tài chính,Khánh Hòa,Việt Nam,Platinum,2,1,5,2019-06-10,2023-05-15,1
11,customer11@example.com,Phan Ngọc,Nữ,1989,30-39,Giám đốc,Hà Nội,Việt Nam,Gold,1,1,2,2021-01-11,2023-08-07,1
12,customer12@example.com,Trần Đức,Nam,1982,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Gold,3,1,10,2022-05-02,2024-06-25,0
13,customer13@example.com,Lê Thảo,Nữ,1966,50-59,Giám đốc,Bình Dương,Việt Nam,Silver,3,1,10,2017-05-12,2023-12-18,1
14,customer14@example.com,Đặng Thảo,Nữ,1992,30-39,Doanh nhân,Hà Nội,Việt Nam,Silver,1,1,6,2016-06-19,2024-10-14,1
15,customer15@example.com,Bùi Khánh,Nam,1988,30-39,Nhà đầu tư,TP HCM,Việt Nam,Diamond,2,1,9,2015-05-28,2024-01-14,1
16,customer16@example.com,Lê Minh,Nam,1987,30-39,Kiến trúc sư,TP HCM,Expat,Diamond,1,1,6,2017-05-10,2024-11-29,1
17,customer17@example.com,Dương Thành,Nam,1982,40-49,Nhà đầu tư,Quảng Ninh,Việt Nam,Diamond,2,1,3,2016-12-26,2024-02-27,0
18,customer18@example.com,Dương Ánh,Nữ,1986,30-39,Luật sư,Hà Nội,Việt Nam,Silver,1,1,8,2017-06-30,2023-07-24,1
19,customer19@example.com,Hoàng Hà,Nữ,1982,40-49,Luật sư,Hà Nội,Việt Nam,Gold,3,1,2,2018-02-17,2023-12-26,1
20,customer20@example.com,Phan Lan,Nữ,1994,30-39,Giám đốc,Bình Dương,Việt Nam,Gold,3,1,1,2016-03-20,2024-09-02,1
21,customer21@example.com,Đỗ Yến,Nữ,1987,30-39,Giám đốc,TP HCM,Việt Nam,Silver,4,1,1,2020-10-30,2024-07-05,1
22,customer22@example.com,Vũ Hùng,Nam,1983,40-49,Chuyên gia tài chính,TP HCM,Việt Nam,Silver,3,1,9,2018-06-20,2024-11-13,1
23,customer23@example.com,Bùi Mai,Nữ,1978,40-49,Luật sư,TP HCM,Expat,Platinum,2,1,10,2021-05-20,2023-11-05,1
24,customer24@example.com,Hoàng Đức,Nam,1979,40-49,Nhà đầu tư,Hải Phòng,Việt Nam,Silver,4,1,8,2022-07-30,2023-08-07,1
25,customer25@example.com,Hoàng Thành,Nam,1965,50-59,Chuyên gia tài chính,Hà Nội,Expat,Silver,3,1,4,2017-03-26,2023-05-31,0
26,customer26@example.com,Đỗ Việt,Nam,1990,30-39,Giám đốc,TP HCM,Expat,Gold,4,1,8,2019-06-25,2023-09-07,1
27,customer27@example.com,Dương Quang,Nam,1966,50-59,Luật sư,Hà Nội,Expat,Gold,1,1,9,2017-10-17,2023-05-05,1
28,customer28@example.com,Bùi Phương,Nữ,1993,30-39,Chuyên gia tài chính,Khánh Hòa,Expat,Gold,4,1,9,2020-01-01,2023-06-12,1
29,customer29@example.com,Hoàng Ngọc,Nữ,1988,30-39,Luật sư,Hải Phòng,Việt Nam,Platinum,4,1,4,2018-01-29,2024-03-26,0
30,customer30@example.com,Hoàng Nga,Nữ,1975,40-49,Chuyên gia tài chính,Đồng Nai,Việt Nam,Silver,4,1,3,2022-12-03,2023-08-08,0
31,customer31@example.com,Bùi Thu,Nữ,1981,40-49,Nhà đầu tư,Hà Nội,Việt Nam,Gold,1,1,10,2019-04-08,2024-05-03,0
32,customer32@example.com,Dương Hằng,Nữ,1979,40-49,Nhà đầu tư,TP HCM,Việt Nam,Platinum,2,1,8,2017-06-17,2023-10-07,1
33,customer33@example.com,Phan Anh,Nam,1984,40-49,Nhà đầu tư,Đà Nẵng,Việt Nam,Diamond,1,1,7,2021-08-21,2024-07-31,1
34,customer34@example.com,Lê Bình,Nam,1987,30-39,Bác sĩ,Hà Nội,Việt Nam,Silver,3,1,6,2019-04-02,2023-10-12,1
35,customer35@example.com,Trần Thu,Nữ,1976,40-49,Doanh nhân,Đà Nẵng,Việt Nam,Diamond,2,1,2,2022-04-23,2023-02-11,1
36,customer36@example.com,Nguyễn Trung,Nam,1972,50-59,Bác sĩ,Hà Nội,Việt Nam,Silver,2,1,8,2022-11-05,2023-09-20,1
37,customer37@example.com,Đỗ Khánh,Nam,1998,25-29,Giám đốc,Đà Nẵng,Việt Nam,Silver,1,1,5,2021-06-16,2024-11-24,1
38,customer38@example.com,Ngô Linh,Nữ,1985,30-39,Giám đốc,TP HCM,Việt Nam,Silver,3,1,10,2016-05-10,2024-08-02,1
39,customer39@example.com,Vũ Ánh,Nữ,1994,30-39,Chuyên gia tài chính,Hà Nội,Việt Nam,Silver,4,1,8,2016-03-08,2024-03-19,1
40,customer40@example.com,Vũ Mai,Nữ,1969,50-59,Kiến trúc sư,TP HCM,Expat,Platinum,4,1,7,2023-03-14,2024-08-29,1
41,customer41@example.com,Hoàng Bình,Nam,1965,50-59,Luật sư,Đà Nẵng,Việt Nam,Platinum,3,1,1,2020-07-17,2023-11-29,1
42,customer42@example.com,Dương Long,Nam,1982,40-49,Chuyên gia tài chính,Hà Nội,Việt Nam,Diamond,1,1,9,2017-02-21,2023-03-29,1
43,customer43@example.com,Bùi Ngọc,Nữ,1991,30-39,Luật sư,TP HCM,Việt Nam,Gold,1,1,2,2018-04-20,2023-08-15,1
44,customer44@example.com,Hồ Trung,Nam,1979,40-49,Chuyên gia tài chính,TP HCM,Việt Nam,Gold,3,1,6,2022-11-18,2024-04-09,1
